method_a,method_b,mean_a,mean_b,mean_diff,t_stat,p_value,n,holm_corrected_pvalue,significant_holm
GAT threshold,GAT top-k,0.05263543917872671,0.03225736105090398,0.020378078127822732,14.330571338034153,3.966250050995926e-17,40,5.552750071394297e-16,True
GAT top-k,degree-centrality,0.03225736105090398,0.026703430522391006,0.005553930528512975,5.621800967899072,1.7355142914053923e-06,40,1.0413085748432353e-05,True
degree-centrality,betweenness-centrality,0.026703430522391006,0.02944496415362451,-0.002741533631233504,-3.423523873852901,0.0014664304503795383,40,0.004399291351138614,True
degree-centrality,highest-p_uv,0.026703430522391006,0.04086753811960246,-0.014164107597211456,-9.714084358789927,5.781031299073056e-12,40,7.515340688794973e-11,True
highest-p_uv,betweenness-centrality,0.04086753811960246,0.02944496415362451,0.011422573965977952,8.339600759735685,3.354236163630437e-10,40,4.025083396356525e-09,True
RL,random,0.10027463284042827,0.11059094089136667,-0.010316308050938403,-1.0087697320673241,0.319303112702959,40,0.638606225405918,False
RL,greedy simulation-guided heuristic,0.10027463284042827,0.05939245949401537,0.0408821733464129,3.859833298448468,0.0004154040880744037,40,0.0016616163522976148,True
RL,GAT threshold,0.10027463284042827,0.05263543917872671,0.04763919366170156,4.712389940490363,3.0900467430208376e-05,40,0.00015450233715104189,True
RL,GAT top-k,0.10027463284042827,0.03225736105090398,0.0680172717895243,6.714121621759316,5.3032708521639426e-08,40,4.242616681731154e-07,True
RL,degree-centrality,0.10027463284042827,0.026703430522391006,0.07357120231803727,7.188975976077441,1.1808679324044202e-08,40,1.210079305321583e-07,True
RL,betweenness-centrality,0.10027463284042827,0.02944496415362451,0.07082966868680377,6.960358051088495,2.4292681157892065e-08,40,2.186341304210286e-07,True
RL,highest-p_uv,0.10027463284042827,0.04086753811960246,0.05940709472082581,5.961238724212838,5.862533904138389e-07,40,4.103773732896873e-06,True
eigenscore,degree-centrality,0.02706152509595978,0.026703430522391006,0.0003580945735687756,0.3451422756403973,0.7318420173192755,40,0.7318420173192755,False
eigenscore,RL,0.02706152509595978,0.10027463284042827,-0.07321310774446849,-7.211503859468926,1.1000720957468936e-08,40,1.210079305321583e-07,True
