method_a,method_b,mean_a,mean_b,mean_diff,t_stat,p_value,n,holm_corrected_pvalue,significant_holm
GAT threshold,GAT top-k,0.05229382823426871,0.032365421371449536,0.019928406862819173,15.205503015097468,5.5381958850829526e-18,40,7.753474239116134e-17,True
GAT top-k,degree-centrality,0.032365421371449536,0.028237948079815643,0.004127473291633894,4.466886480735195,6.622101941820484e-05,40,0.00039732611650922906,True
degree-centrality,betweenness-centrality,0.028237948079815643,0.030824376433583395,-0.002586428353767753,-3.385771959045918,0.0016308639732903302,40,0.006523455893161321,True
degree-centrality,highest-p_uv,0.028237948079815643,0.03906711394416964,-0.010829165864353996,-9.031740231006927,4.2167252945564846e-11,40,5.48174288292343e-10,True
highest-p_uv,betweenness-centrality,0.03906711394416964,0.030824376433583395,0.008242737510586243,6.444964975529661,1.2494967571171954e-07,40,9.995974056937563e-07,True
RL,random,0.08497950701933198,0.11156089026732421,-0.026581383247992238,-3.015328137114009,0.004499150563626344,40,0.013497451690879032,True
RL,greedy simulation-guided heuristic,0.08497950701933198,0.06397130018897783,0.021008206830354148,2.4632326420136343,0.01828702535242652,40,0.03657405070485304,True
RL,GAT threshold,0.08497950701933198,0.05229382823426871,0.03268567878506327,4.274829405327182,0.00011937862037222083,40,0.0005968931018611042,True
RL,GAT top-k,0.08497950701933198,0.032365421371449536,0.05261408564788244,6.8325209865281575,3.641777463143805e-08,40,3.529437576687601e-07,True
RL,degree-centrality,0.08497950701933198,0.028237948079815643,0.05674155893951634,7.205925381949225,1.1195449395664566e-08,40,1.2314994335231022e-07,True
RL,betweenness-centrality,0.08497950701933198,0.030824376433583395,0.054155130585748584,6.842402868047128,3.529437576687601e-08,40,3.529437576687601e-07,True
RL,highest-p_uv,0.08497950701933198,0.03906711394416964,0.04591239307516234,5.801708459065809,9.765476784110135e-07,40,6.835833748877094e-06,True
eigenscore,degree-centrality,0.028892625807808475,0.028237948079815643,0.000654677727992832,0.80567276227502,0.4253168033812472,40,0.4253168033812472,False
eigenscore,RL,0.028892625807808475,0.08497950701933198,-0.0560868812115235,-7.263414969785548,9.34456811075149e-09,40,1.1213481732901788e-07,True
