method_a,method_b,mean_a,mean_b,mean_diff,t_stat,p_value,n,holm_corrected_pvalue,significant_holm
GAT threshold,GAT top-k,0.05467944939700921,0.037177138280376575,0.017502311116632634,10.23404244673411,1.323578668706753e-12,40,1.5882944024481038e-11,True
GAT top-k,degree-centrality,0.037177138280376575,0.03305731606328866,0.004119822217087912,3.1246582973011323,0.0033533686426360097,40,0.01440365063880776,True
degree-centrality,betweenness-centrality,0.03305731606328866,0.03614810931517897,-0.0030907932518903086,-4.115891340242468,0.00019335182845205836,40,0.0011601109707123501,True
degree-centrality,highest-p_uv,0.03305731606328866,0.036506566373711725,-0.003449250310423063,-3.180476920252575,0.002880730127761552,40,0.01440365063880776,True
highest-p_uv,betweenness-centrality,0.036506566373711725,0.03614810931517897,0.00035845705853275456,0.3213287071805073,0.7496771032759424,40,0.9118437615900754,False
RL,random,0.0719122751335919,0.12176688801029166,-0.04985461287669976,-6.906495369122742,2.880771106776557e-08,40,3.1688482174542127e-07,True
RL,greedy oracle,0.0719122751335919,0.06592821437918632,0.005984060754405579,0.7530836008270791,0.4559218807950377,40,0.9118437615900754,False
RL,GAT threshold,0.0719122751335919,0.05467944939700921,0.01723282573658269,2.6474217164628375,0.011641648440140602,40,0.034924945320421806,True
RL,GAT top-k,0.0719122751335919,0.037177138280376575,0.034735136853215325,5.114107287469006,8.731764126750932e-06,40,6.562842487912308e-05,True
RL,degree-centrality,0.0719122751335919,0.03305731606328866,0.03885495907030324,5.739574320444895,1.1911751928547536e-06,40,1.1911751928547535e-05,True
RL,betweenness-centrality,0.0719122751335919,0.03614810931517897,0.03576416581841293,5.237476568237276,5.90489245495257e-06,40,5.3144032094573125e-05,True
RL,highest-p_uv,0.0719122751335919,0.036506566373711725,0.035405708759880174,5.133811587800849,8.203553109890386e-06,40,6.562842487912308e-05,True
