device_type_pair,times_pruned,mean_s_uv,mean_p_uv,mean_hub_score
gateway<->service,85,0.2544430378605338,0.19446572835478362,0.05878418256934881
gateway<->gateway,73,0.1563017423430534,0.20453707485103872,0.0883080588262244
actuator<->gateway,70,1.0230943100793022,0.19939050584047358,0.043597706641184904
gateway<->user,50,0.660187087059021,0.19596752705832127,0.04836120401337793
actuator<->service,39,1.0395441055297852,0.18601039310157746,0.01818025898293457
gateway<->sensor,29,0.8696841967516932,0.19515532384288528,0.050397877984084884
actuator<->user,23,1.058584855950397,0.17270561020418893,0.013377926421404682
sensor<->service,16,1.0249072313308716,0.18269468978185618,0.01745401337792642
service<->user,16,0.8492348380386829,0.18466946502596543,0.021112040133779264
user<->user,16,1.0877087377011776,0.18359826841287952,0.015677257525083612
sensor<->user,13,1.0830408243032603,0.17687374092799807,0.013506560329302805
service<->service,6,0.5440783376495043,0.1796184237350029,0.025919732441471572
actuator<->sensor,5,0.8981538057327271,0.17294458796825546,0.011705685618729096
actuator<->actuator,3,0.9413299163182577,0.17365458174987877,0.011705685618729096
sensor<->sensor,2,1.303159475326538,0.17294261173353892,0.012541806020066888
