graph_seed,config,reward_variant,step_index,removed_fraction,g_fixed_at_step,g_stop,beats_stop_at_step
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,0,0.0505050505050505,0.1277312179916175,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,1,0.101010101010101,1.2506936331678773,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,2,0.1515151515151515,1.900031926737459,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,3,0.2008978675645342,2.591149668027071,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,4,0.2514029180695847,3.707682219214221,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,5,0.3019079685746352,4.531107633646706,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,6,0.3524130190796857,5.671165748296114,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,7,0.39955106621773284,6.449849159223748,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,8,0.45005611672278334,7.228600106060617,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),incremental,9,0.5005611672278338,8.29994017661986,0.0,True
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,0,0.0505050505050505,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,1,0.101010101010101,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,2,0.1515151515151515,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,3,0.2008978675645342,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,4,0.2514029180695847,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,5,0.3019079685746352,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,6,0.3524130190796857,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,7,0.39955106621773284,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,8,0.45005611672278334,0.0,0.0,False
0,RL baseline (sec=1.0 util=1.0 cost=0.1),terminal,9,0.5005611672278338,1.0713400705592424,0.0,True
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,0,0.0505050505050505,-1.6067053359241374,-2.0,True
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,1,0.101010101010101,-2.0186261712034383,-2.0,False
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,2,0.1515151515151515,-2.7507628056462083,-2.0,False
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,3,0.2008978675645342,-3.215085619936743,-2.0,False
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,4,0.2514029180695847,-3.0825591167681092,-2.0,False
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,5,0.3019079685746352,-2.8869035597781734,-2.0,False
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,6,0.3524130190796857,-2.355285587834719,-2.0,False
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,7,0.39955106621773284,-2.058442961086293,-2.0,False
0,RL high-security (sec=3.0 util=1.0 cost=0.1),incremental,8,0.45005611672278334,-1.6527361298307712,-2.0,True
