neighbor,neighbor_device_type,neighbor_hub_score,s_uv,p_uv
7,gateway,0.06020066889632107,0.13444991409778595,0.23441892184625293
21,gateway,0.07357859531772575,0.13563328981399536,0.2346359850170028
23,gateway,0.06020066889632107,0.13715067505836487,0.23417049358459996
33,gateway,0.07357859531772575,0.14212876558303833,0.23448932652462234
8,gateway,0.08695652173913043,0.14936891198158264,0.23669507400591236
10,gateway,0.07023411371237458,0.15028396248817444,0.23670504793809466
6,gateway,0.05016722408026756,0.15298709273338318,0.18678047411914495
0,gateway,0.1605351170568562,0.15387749671936035,0.18747017359290877
17,gateway,0.06020066889632107,0.15803402662277222,0.23334833272528266
22,gateway,0.04013377926421405,0.1583791822195053,0.18395380461308963
14,gateway,0.08361204013377926,0.1616460084915161,0.23571162518451197
4,gateway,0.0903010033444816,0.16304844617843628,0.23628915009791898
60,service,0.026755852842809364,0.17783638834953308,0.19283548993646935
62,service,0.030100334448160536,0.17930792272090912,0.2411904201824007
116,service,0.020066889632107024,0.18176212906837463,0.24143298172503827
76,service,0.023411371237458192,0.18214106559753418,0.18988075053335782
181,service,0.020066889632107024,0.18377402424812317,0.24081119225645653
30,service,0.033444816053511704,0.1854529082775116,0.24104131629162878
11,gateway,0.05351170568561873,0.18647660315036774,0.23346518730134894
12,gateway,0.046822742474916385,0.20202484726905823,0.23344544374281367
175,service,0.026755852842809364,0.2022165060043335,0.1928529834505378
36,service,0.030100334448160536,0.20888563990592957,0.24398349923012339
61,service,0.026755852842809364,0.21963298320770264,0.19085314040908366
84,service,0.026755852842809364,0.22223705053329468,0.1880877994990911
58,service,0.030100334448160536,0.22719572484493256,0.244512652010003
172,service,0.020066889632107024,0.2370193898677826,0.19677235591049388
5,gateway,0.06688963210702341,0.24416442215442657,0.18650045844154664
105,actuator,0.013377926421404682,0.712357759475708,0.16500162634173626
209,actuator,0.010033444816053512,0.7826404571533203,0.1944214859357727
279,actuator,0.010033444816053512,0.7977415919303894,0.151588122622646
271,actuator,0.010033444816053512,0.8704345226287842,0.1943337417371759
147,actuator,0.013377926421404682,1.8109378814697266,0.19461707662386343
169,actuator,0.010033444816053512,1.999572992324829,0.16484851831694425
