graph_seed,method,containment_ratio,frozen_recall,frozen_f1,time_s
0,RL,0.057728813319131454,0.5,0.6363636363636364,12.193071842193604
1,RL,0.19434440847580722,0.6,0.6428571428571429,16.885117530822754
2,RL,0.052628598224462336,0.46153846153846156,0.5714285714285714,14.247442245483398
3,RL,0.07612673623979556,0.6153846153846154,0.5333333333333333,14.431442737579346
4,RL,0.15621131399365382,0.6,0.6206896551724138,24.41708731651306
5,RL,0.05543706348046514,0.2857142857142857,0.34782608695652173,23.16678500175476
6,RL,0.19273529012886514,0.6666666666666666,0.6153846153846153,26.73946237564087
7,RL,0.06868246236093042,0.42105263157894735,0.48484848484848486,24.316767930984497
8,RL,0.03362975263008172,0.4666666666666667,0.4666666666666667,21.23069429397583
9,RL,0.2104610891503338,0.45,0.4285714285714286,24.87587594985962
10,RL,0.08043333828775517,0.5294117647058824,0.6923076923076924,23.067074298858643
11,RL,0.08005582390628296,0.3333333333333333,0.5,20.99225115776062
12,RL,0.12180754668376403,0.5,0.42857142857142855,23.425451040267944
13,RL,0.05899931808634459,0.6923076923076923,0.5294117647058824,23.609413862228394
14,RL,0.05537632062823126,0.3333333333333333,0.43749999999999994,22.56743812561035
15,RL,0.04602612094833146,0.4090909090909091,0.5142857142857142,23.9510977268219
16,RL,0.07091234930393768,0.5,0.5161290322580646,21.96398639678955
17,RL,0.05083747557281272,0.42857142857142855,0.5,23.22356367111206
18,RL,0.21379255143399112,0.35294117647058826,0.41379310344827586,24.093650102615356
19,RL,0.08718991083899816,0.5,0.6,25.077707290649414
20,RL,0.06429502367233556,0.4666666666666667,0.4666666666666667,20.816640377044678
21,RL,0.15028537320324556,0.6666666666666666,0.46511627906976744,23.816582441329956
22,RL,0.1349137280160971,0.9375,0.6818181818181818,25.97499704360962
23,RL,0.273533679101329,0.5555555555555556,0.6250000000000001,23.4729323387146
24,RL,0.04568288303768239,0.3684210526315789,0.4375,24.074011087417603
25,RL,0.07779145272820974,0.2857142857142857,0.42857142857142855,24.48413848876953
26,RL,0.1444744043797253,0.5,0.5833333333333334,23.69679617881775
27,RL,0.07397130615520095,0.4375,0.5185185185185185,24.742918968200684
28,RL,0.14288397168255523,0.6,0.5,23.5088529586792
29,RL,0.046750329099917894,0.3333333333333333,0.46153846153846156,22.19499969482422
30,RL,0.046425652160868774,0.5882352941176471,0.5882352941176471,22.489827394485474
31,RL,0.06602880247395694,0.47368421052631576,0.5142857142857142,23.935785055160522
32,RL,0.04157487408260679,0.35714285714285715,0.5,22.285310745239258
33,RL,0.247490899568831,0.6956521739130435,0.6808510638297872,21.91547918319702
34,RL,0.13598326618646564,0.6521739130434783,0.6666666666666666,25.14803719520569
35,RL,0.15490964894748976,0.6428571428571429,0.5625000000000001,24.51395058631897
